Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,ELE Buy,ELE Sell,LV Buy,LV Sell,LT Buy,LT Sell
37186.7,4592.6,2694.6,3626.5,4605.8,2306.8,1101.8,1854.8,1637.7,1511.5,1156.3,1293.4,1791,1954.9,3778.4,9215.2,10334.4,2328.6,1312.2,6680.4,4981.5,1244.2,2827.6,1129.8,1882.4,1036.9,1210.7,604.4,65.6,,,800.9,800.9
40556.6,5092.1,3004.6,4123.8,5123.8,2401.4,1289.9,1918.1,1873.6,1661.8,1305.9,1355.7,2547.4,1890.5,4351.5,10097.2,10429.9,2640.6,1051.3,7031.8,5146.8,1559.2,3572.2,1425.6,1865.9,1165.4,1380.5,607.1,27,,,812.5,812.5
44345.9,5729.1,3445.2,4660.7,6041.1,2476.4,1397.8,2088.3,2225.2,1786.2,1557.2,1413.8,3629.9,1897.8,5348.6,11030.7,10423.5,3183,882.6,7297,5412,2042.7,3461.9,1731.3,1877,1239.2,1376.7,532.5,30,,,869.9,869.9
46445.1,5981.7,3740,4801.1,6527.6,2558.9,1469.6,2185.8,2341.8,1841.2,1681.6,1438.7,4032.2,1964.8,5742.1,11339,10466.3,3495.8,897.1,7083.5,5334.6,2164,3181.3,1846.1,1651.4,1243.4,1375.3,500.1,3.2,,,865,865
47622.3,5966.8,3727.8,4786.7,6757.5,2595.8,1502.2,2205.1,2937.7,1853.8,1665.7,1450.6,4037.6,1975.2,5768.5,11278.7,10522.8,3561.6,925.7,6958.9,5475,2495.6,2951.4,2128.5,1350.4,1251,1372.1,516.1,30,,,905.1,905.1
48294.6,5939.3,3771.9,4782.7,7055.3,2611.2,1515.2,2209.2,2950.1,1857.4,1622.6,1453,4044.7,2004.2,5791.6,11296.2,10628.9,3954.5,943.5,6924.7,5596.5,2424.1,3011.8,2473.1,1362.5,1246.3,1371.9,520.6,30,,,908.4,908.4
48087.3,5880.8,3753.3,4774,6881.6,2575.1,1475.6,2193,2961.8,1850.6,1626.1,1467.9,4040.7,1983.3,5843,11241.3,10637,3990.6,965.2,6919.5,5529.6,2389.9,2999.9,2456.3,1373.5,1238.6,1372.2,528.6,30,,,906.6,906.6
47922.2,5838.3,3723.4,4753.4,6772.4,2610.4,1461.4,2163.2,2943.2,1838.7,1631.8,1485.5,4039,2014.1,5823.7,11186.2,10626.6,3994.1,976.7,6921.4,5454,2317.5,3089.1,2434.4,1380.9,1247.6,1373.2,520.6,30,,,908.9,908.9
47750.1,5802.4,3706.9,4743.5,6589,2618,1447.1,2183.1,2942.1,1831.7,1631.7,1497.5,4036.6,2018.1,5830.6,11089.2,10639.6,3885.1,992,6971.1,5431.6,2313.8,3116.8,2431.6,1386.1,1247.6,1374.6,522,30,,,905.8,905.8
47907.9,5781.2,3712.3,4739.8,6632.8,2612.4,1471.2,2192.8,2948.9,1827.6,1706,1515.5,4038,2131.9,5910.9,11036.6,10637.9,3830.2,998.8,7199.8,5314.8,2271.2,3136.7,2404,1399.7,1268.9,1372.6,498.7,30,,,898,898
48506.3,5841.9,3830.1,4744.3,6806.4,2612.5,1524.2,2220,2980.3,1837.5,1725.3,1541.8,4049.9,2149.4,5857.8,11289.8,10730.2,3950.1,1002.2,7330.1,5445.1,2218.5,3169.4,2404.6,1384.6,1299.1,1369.8,470.7,35,,,897.2,897.2
49284.4,5906.9,4068.1,4760.5,6961.6,2606.2,1552.3,2180.6,3023.3,1848,1791.6,1527.1,4073.5,2127.5,6034.9,11569.8,10738.2,4213.7,995.6,7322.5,5531,2317.6,3125.5,2532.7,1382.5,1299.7,1368,468.3,35,,,885.8,885.8
49395.2,5834.6,4001,4829.5,7182.2,2574.1,1548.9,2158.7,3017.3,1841.9,1783,1513.1,4069.1,2102.2,6013.3,11511.3,10760.3,4235.9,1000.2,7276,5520.4,2480.4,3137.7,2671.4,1360.7,1284.6,1368.5,484.6,35.7,,,862.8,862.8
48678.5,5693.3,3765.8,4780.4,7132.7,2542,1534.1,2140.7,2962.3,1820.1,1753.9,1490.5,4059,2111.7,5873.3,11341.9,10737.9,4162.6,1000.5,7258.6,5471.6,2385.3,3043,2585,1343,1263.2,1369.7,501.5,30,,,834.9,834.9
47622.6,5551.8,3662.4,4738.2,6616.8,2528.7,1440.4,2106,2906.7,1816.6,1723,1466.6,4041.6,2062.9,5816,11089.6,10615.5,4068.7,1001.3,7130.9,5494.6,2250.9,2955.9,2447,1348.7,1247.2,1370.8,519.3,30.7,,,809.8,809.8
45818.2,5367.2,3436.6,4646.5,5918.2,2504.6,1382.1,2091.3,2769.7,1804.1,1584.6,1411.9,3865.4,1983.7,5680.9,10670.3,10612.3,3812.6,1001.7,6798.8,5369.4,2057,2847,2305.6,1350.7,1214.6,1371.6,557.5,35.5,,,785.8,785.8
43651,5174.3,3183,4550,5587.9,2473,1332.1,2066.6,2548.3,1773.1,1408.7,1389.1,3629.2,1933.1,5268,10125.6,10612.1,2729,1004.9,6979.8,5148.5,1933.9,2573,2167.6,1356.5,1154.9,1233.4,645.7,210.1,,,992.9,992.9
41030.1,4916.9,2930.6,4323.4,5357,2460.4,1246.7,2007.5,2324.7,1684.4,1223.5,1330.4,2728.9,1867.7,4736.1,9487.8,10562,2587.1,1014.3,6755.4,5111.9,1764.1,2435.1,1683.1,1363.1,1086,1216.2,506.7,210.8,,,898.4,898.4
37108.1,4626.8,2754.5,4132.4,4730.9,2455,795.1,1981.2,1824.6,1626.9,1210.7,1276.8,1718.5,1773.1,3900,8920.1,10477.7,2237,1356.5,6275.6,4922.4,1257.4,2784.8,1299.2,1750.8,947.1,870.5,498.4,210,,,882.4,882.4
35289.5,4516,2554.2,3977.5,4753.2,2289.5,1016,1942.8,1334,1558.5,1299.6,1243.7,1379.5,1793.6,3289.3,8381.1,10588.8,2091.2,1344.7,5999.9,4883.5,1124.6,2311.6,1129.3,1619.3,981.4,750.9,295.5,200,,,1039.7,1039.7
34221.9,4374.2,2521.9,3851.7,4554.1,2225,909.3,1900.1,1315.8,1505,1243.9,1224.6,1340.7,1762.4,2982.6,8158.1,10589.3,2051.5,1317.4,5761.3,4767.9,1138.6,2314.6,1076.3,1536.3,986,750.1,329.4,200.3,,,1010.1,1010.1
33833,4315.2,2497.1,3822,4455.6,2203.6,880.7,1883.1,1306,1491.9,1187.4,1216.5,1221.4,1742.5,2923.5,8078.2,10590.9,2040.2,1354.7,5680.1,4687.6,1179.5,2382.5,1049.2,1578.2,990.6,751.3,324.8,200.5,,,1008.2,1008.2
33886.7,4296.9,2494.3,3827.1,4430,2197.9,867.3,1871.4,1302,1489.4,1182.1,1218.9,1279.9,1747.3,2941.2,8086.2,10589.6,2047.9,1343.6,5750.4,4713.4,1167.9,2376.9,1047.9,1593.9,990,750.5,325.9,200.4,,,1013.1,1013.1
34651.2,4344.6,2496.1,3862.3,4428.1,2215.4,926,1882.9,1315,1496.1,1187.8,1241.9,1387.1,1773.1,3192.3,8225.9,10579.1,2089.7,1384.1,6086.4,4830.7,1235.4,2472.4,1065.4,1685.4,967.8,908.2,305.4,0,,,863.3,863.3
36803.7,4559.1,2488.2,3729.3,4447.7,2270.1,1058.6,1894.4,1789.4,1524.3,1188.8,1273.3,1552.6,1785.8,3582.5,8652.5,10649.9,2220.1,1419.8,6905.4,5024.8,1362.4,2632.4,1159.4,1866.4,1059.6,1038.2,343.6,0,,,1033.4,1033.4
40642.9,5071.3,2862.8,4296.9,5240.4,2342.3,1392.2,1963.1,2249.3,1683.3,1516.8,1332.8,2538.2,1626.7,4561.4,9578.6,10708.2,2708.9,862.8,7238.9,5353.9,1741.7,2795,1431.6,1300.1,1157.9,1268,475.1,0,,,895.9,895.9
46365.6,5747.3,3656.8,4623.3,6768.7,2403.4,1575.9,2117.6,2410.4,1820.7,1653.9,1395,3836.5,1725.5,5775.7,10457.3,10720.9,3455.9,827.2,7450.3,5565.3,2383.2,2236.5,2336.6,1253.3,1241.5,1282.4,454.2,48.3,,,949.5,949.5
48593.9,5968.6,4251.3,4775.1,7595.5,2509.8,1649.8,2213.2,2594.7,1884.1,1719.8,1416.1,4135.7,1724,6112.6,10918.1,10797.8,4250.2,799.8,7322.8,5495,2809.2,2234.5,2440.3,1210,1273.1,1282.3,464.3,90.1,,,973,973
48613.7,5890,4058.2,4774.8,7432.6,2547.5,1592.7,2238.5,3143.2,1888.5,1695.2,1434.1,4128,1762.6,6100.2,11008.6,10766.5,4293.5,765.1,7178.3,5503.1,2767.6,2234.8,2464.7,1194.1,1303.5,1300.5,463.4,101.4,,,987,987
48798.1,5845.5,4132.2,4774.6,7500.1,2540.6,1612.5,2238.9,3101.4,1886,1706.6,1429.2,4132,1788.8,6111.2,11216.2,10738,4343.3,741.6,7130.3,5545.6,2764.6,2312.2,2475.1,1164.7,1297.9,1289.6,454.5,97.8,,,990.4,990.4
