Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
42442.3,4713.7,1749.7,4864.8,5526.6,2489.3,1561.5,2068.5,2790.5,2182.3,3507.5,1285.3,1749.9,1803.3,4912.3,10290.7,10665.2,3510.5,1169,6859.7,4525.1,1465.4,3437.4,1569.8,1859,904.1,1332.7,407.6,0,692.5,321.1
45014.4,5006.2,1909.6,5021,6021.5,2565.3,1655.4,2144.6,2957.5,2243.5,3990.8,1305.3,2179.7,1886.3,5453.9,10678.3,10709.9,3628.1,914.7,6806,4537.9,1667,3076,1675,1636.6,928.1,1290.2,455.8,0,726.3,403.1
45779.7,5117.2,1943.2,5020.5,6118.2,2569.6,1686.1,2168.7,3003.8,2246.8,4159.8,1314.1,2345.9,1918.8,5668.7,10663.8,10813.1,3643.8,930.8,6673.5,4520,1888.1,3036.1,1706.8,1237.5,947.2,1194.7,437.1,0,738.8,396.9
46587.7,5173.8,1941.8,5079,6264.7,2600.1,1683,2167.2,3058.7,2287.1,4407.6,1311.9,2537.6,1892.2,5865.5,10734.1,10825.6,3665,934.5,6647.2,4553.5,1991.7,2976,2127.8,1219.9,953.2,1140.9,447.6,0,713.6,382.2
47311.6,5146.4,1944.1,5025.9,6321.6,2588.1,1757.6,2157.8,3111.8,2300.4,4579.3,1318.9,2686,1865.4,6090.2,10729.4,10843.7,4290.5,930.8,6696.6,4549.1,1985.9,2875.5,2310.7,1263.8,951.1,1192.6,456.1,0,712.7,389.8
47070.3,5127.3,1929.4,5020,6305.6,2568.5,1738,2162.8,3087.2,2296.3,4522.9,1327,2638,1793.4,6110.4,10683.3,10845.6,4243.3,928,6689.3,4567.5,1949.1,2756.5,2292.9,1287.3,964.5,1180.3,454.7,0,716.3,392
47188.3,5108.9,1928.3,4995.3,6318.6,2583.4,1785.1,2164.9,3107.9,2299.8,4569.4,1334.9,2690.7,1802.4,6140.2,10631.2,10851.9,4229.5,919.4,6753.3,4579,2092,2647.1,2285.9,1254.6,962.8,1231.1,459.2,0,713.8,394
47424.8,5131,1934.5,4988.6,6344.9,2590.1,1846.8,2175.7,3144,2296.5,4626.2,1338.6,2721.8,1743.5,6074.8,10646.8,10831.4,4225.1,910.4,6975.7,4723.8,2118.8,2591.4,2273.2,1176.7,990.1,1325,452.4,0,703.9,398.3
47888.7,5192.5,1905.8,4973.9,6425.4,2600.9,1862.8,2166.4,3233,2281.4,4834.5,1338,2795.6,1866.4,6198.5,10997.4,10816,4032.6,896.7,7112.7,4746.9,2132.9,2478.2,2260.2,1071.1,1033.3,1325,307.3,0,689.3,395.7
48927.2,5246.4,1931.8,5042.4,6621.3,2591.9,1878.9,2141.1,3445.2,2305,5343.4,1318.4,2910.3,1890.6,6279.6,11279.1,10809.7,4449.7,886.1,7096.2,4749.8,2279.9,2413.1,2353.7,1043.8,1047.8,1325,311.5,0,678.4,394.1
49221.7,5203.3,1950.3,5015.9,6639.7,2568.1,1954.2,2121.2,3491.1,2296.4,5554.9,1308.8,2982.8,1891.8,6347.2,11198.2,10822.8,4528.8,878.9,7038,4693.5,2691.1,2329.1,2486.6,1034.2,1016.7,1328.2,369,0,665.4,392.4
48552,5093.9,1927.7,4965.1,6606.2,2543.9,1897.5,2105.8,3441.2,2294.2,5269,1295.4,2904.8,1830,6291.7,11059.4,10800.9,4467.1,862.5,7012.9,4616.4,2572.8,2264,2437.5,1084.6,980.7,1330.4,373.1,0,652.7,387.6
47331.2,4934.6,1927,4844.2,6451.5,2528.1,1852.4,2089.9,3266.6,2229.4,4838.3,1276.6,2800.1,1762.2,6214.4,10770.7,10692.2,4366.7,846.5,6897.5,4456.3,2417,2190.7,2310.5,1125.2,959.3,1332.3,349.9,0,636.7,379.8
45727.1,4774.2,1891.5,4796.5,6348.2,2515.3,1775.1,2067.3,3105.7,2203.4,4419.8,1258.3,2617.8,1708.6,6115.3,10362.1,10653.3,4203.4,826.8,6564.7,4528.8,2270.8,2144.2,2171.8,1119,926.5,1028.1,453.1,0,964.9,667.3
44195,4604.5,1798.9,4737.2,6160.7,2468.1,1662.7,2051.7,2930,2178.2,4313,1227.3,2216.4,1637.5,5975.8,9925,10616.9,4060.8,806.8,6547.4,4398.5,2021.5,2097.1,2046.9,1075.4,863.6,1028.9,442.9,0,845.4,576.9
42211.4,4403,1730.9,4635.8,5781.1,2355.6,1492.8,2004.8,2880.6,2120.6,4193.8,1187,1760.7,1574.4,5463,9381.4,10548.2,3904.5,778.9,6359.2,4411.2,1836.9,2090.7,1903.4,1060,779.1,880.8,367.2,0,731,471.2
39502.3,4180.4,1733.9,4477.9,5288.6,2341.3,1466.8,1921.8,2661.7,2042.9,3737.7,1164.3,1419.5,1547.1,4591.1,8910.3,10520.7,3173.9,763.5,5813.1,4251.9,1672.9,1961.9,1757.6,1088.5,700.3,874,391.3,0,675.4,410.7
33878.9,3777.6,1614.6,3683.4,3350.5,2286.3,1001.8,1852.9,2223.8,1924.1,2964,1140.6,1242.8,1396.3,3214.2,8274.4,10581.7,2287,1189.4,5388.7,4134,959.4,2090,1041,1024.7,702.6,861.8,439.8,0,1212.6,873.4
33005.5,3660.1,1610,3495.5,3172.8,2247.4,833.8,1822.2,2048.5,1885.7,2499.5,1133.8,1080.5,1445.1,2824.6,8089.2,10485.4,2237.2,1108.1,5138.9,4143.1,974.7,2350.1,987.8,1612,676.7,804.9,419.4,0,1264.5,904.9
32740.5,3582.8,1573.8,3453,3350.7,2238.2,807.3,1803.3,1971.2,1869.7,2285,1130.1,987.9,1491.4,2725.6,8046.5,10430.6,2220.6,1238.4,5048.7,4125.6,1007,2428.2,961.4,1599.2,667.9,776.1,409.9,0,1220.7,851.6
32796.3,3542.4,1571.4,3463.9,3310.1,2224.9,793.5,1792.5,1989.8,1872.7,2241.2,1141.9,1005.4,1486.9,2719.3,8086.7,10421.2,2223.3,1267.8,5107.2,4124.3,995.8,2605.2,962.8,1521.4,664.8,774.2,420,0,774,415
33461.6,3572.4,1578.3,3496.7,3478.6,2219,793.5,1795.6,2042.6,1875.5,2365.9,1174.2,1073.4,1446.6,2718.4,8246.3,10417,2262.7,1287.4,5472.8,4171.9,1031.8,2777.3,986.4,1546.9,689.4,797.2,430.8,0,764.6,416.4
35337.5,3736.6,1591.2,3589.2,3766,2258.3,922.3,1809.9,2189.6,1922.4,2713.1,1229.1,1194.4,1470.1,3197.3,8663.5,10464.2,2397.7,1192.1,6218.7,4322.1,1058.3,3012.3,1078,1561.8,763.5,847.9,262,0,901.6,384.6
38804.9,4206.5,1624.2,3804.3,4531,2384.7,1332.8,1922.8,2453,2007.4,3190.9,1281.4,1518.4,1578.8,4279.2,9554.8,10481.6,3095.2,1148.3,6577.7,4455.4,1316.1,3074.5,1355.3,1558.4,878.9,1184.2,330.4,0,928.2,390.6
44576.6,4725.3,1688.5,4705.3,6340.6,2495.5,1710,2024.2,2993,2160.2,4311.2,1322.1,2389.7,1772.1,5481.6,10405.9,10516.1,3687.7,628.5,6730.5,4546.6,1992.9,2551.3,1603.9,959.6,956.5,1333.4,264.4,0,1013.6,410
46837,4921.1,1936.1,4999.3,6520.9,2575.2,1918.4,2081.1,3181.6,2234.7,4793.1,1340,2805.9,1873.5,5791.8,10808.2,10583.5,3819.1,627.7,6697.1,4561,2254.2,2698.2,2273.8,998,1001.1,1330.2,228.3,0,1059.1,419.4
46974.4,4935,1936.4,5002.4,6511.4,2586.8,1912.5,2113.5,3172.8,2229.5,4774.4,1343.6,2796.5,1863.3,5894.9,10909.7,10596.6,4116.5,647.4,6578.2,4456.2,2049.7,2819.8,2290.5,1062.8,1024.2,1329.2,229.4,29.3,1083.3,415.4
46562.4,4940.4,1879.2,4995.6,6366.5,2583.1,1877.6,2117.9,3073.6,2243.6,4580.9,1338.5,2740.9,1862.7,5949.9,11064.1,10561.5,3823.4,660.4,6540.1,4436.9,2001.2,2947.9,2100.3,1117.4,1043,1329.2,282.1,0,1254.7,668.8
46688.7,4954.7,1818,4986.3,6348.6,2574.8,1842.5,2115.9,3035.1,2248.3,4553.1,1341.7,2726.5,1759.7,6015.1,11194,10567,3784.8,684.1,6569.1,4470.2,1906.8,3070.7,2298.9,1180.2,1038,1329.9,286.4,0,1244.9,663.3
46381.1,4925.4,1797.6,4932.3,6269.9,2571.4,1806.7,2070.8,2978,2224.4,4339.9,1339.6,2585.7,1850.4,6115.6,11165.4,10563.8,3734.6,702,6574,4493.4,1754.6,3142.5,2284.5,1216.7,1045.6,1329.2,278.2,0,1250.4,660.6
46127.6,4903.1,1757.5,4928.1,6210.7,2562.9,1799.2,2051.9,2946.8,2225.3,4206,1348.9,2502.8,1827.3,6079.2,11095.8,10581,3686.3,730.6,6627.6,4547.4,1654.4,3157.1,2264.3,1242.4,1044.7,1327.9,272.9,0,1249.6,654.5
45916.5,4912.6,1739.4,4921.2,6145.6,2566.3,1738.8,2046.6,2894.1,2226,4052.5,1357,2375.7,1805.7,6024.4,10961.5,10612.1,3617.6,775,6861.8,4793.5,1561.8,3148.4,2116.7,1262,1066.6,1327.9,217.2,46.6,1084.8,387.4
46049.9,4959.7,1742,4932.9,6126.4,2583.2,1752.1,2044.5,2905.6,2243.6,4015.9,1351,2354.5,1790,5963,11111.6,10641.4,3628,800.7,7057.7,4822,1476,3113.9,1908.7,1288.7,1109,1327.4,210.7,81.7,1125.3,596.6
47155.2,5013.3,1748.7,4975,6283.8,2573.3,1872.1,2030.9,3025.2,2269.8,4426.2,1346.6,2679,1870.5,6012.8,11337.7,10623.5,3801.6,838.9,7011.5,4823.2,1616.7,3068.7,2345.6,1267.1,1099.2,1329.8,201.5,65.9,1177.3,605.6
48031.4,4959.9,1859.1,4992.6,6364.8,2553,2009.4,2013.4,3146.9,2277.5,4608.4,1335.4,2764.1,1858.4,6078.7,11451.9,10695.5,4400,873.5,7020.1,4832.8,1765.6,3063.2,2440.9,1260,1066.7,1333.8,193.8,58.3,1158.2,538.9
47007.7,4844.2,1752.7,4879.6,6212.5,2528.1,1914,1991.5,3012.8,2230.7,4352.1,1305.5,2598.4,1785.2,5991,11178,10717,4302,903,6935.9,4805.1,1666.8,3089.6,2400.5,1254,1023.8,1337.6,186.3,57.7,1124.1,384.7
45437.5,4697.3,1746.2,4804.9,6047,2493.1,1803.5,1977.2,2880.3,2179.8,3883.1,1271,2240.8,1702.3,5864.4,10727.6,10738.4,4153.2,924.5,6764.4,4597.8,1512.6,3084.9,2270.7,1271.6,994.1,1333.7,189.8,46.8,1178.8,453.8
42825.6,4493,1648,4708.6,5382,2458.8,1597.1,1955.3,2668.5,2141.1,3486.4,1249.8,1872.1,1711.8,5686.5,10232.7,10679.6,3648.3,933.4,6404.3,4428.2,1472.9,3047,1517.8,1284.5,954.8,1059.9,179.9,22.4,1109.4,442.9
39504.8,4303.2,1627.2,4598.2,4247.2,2412.3,1271.9,1926.6,2334.3,2104.1,3151.5,1238,1562.2,1628.1,5247.3,9711,10658.6,3181.3,1186,6594.9,4473.4,1027.4,3044.4,1406.2,1900.8,889.9,1140.4,279.2,0,1016.7,471.9
37921.5,4086.7,1611.7,4506.6,3781.9,2402.2,1225.9,1877.3,2349.4,2052.6,3138,1204.8,1420.9,1548.1,4761.6,9185.5,10621.9,2993.4,1154.9,6309.9,4317.6,886.8,2760.8,1300.1,1912.1,810.5,886.8,315.2,0,991.4,527.6
35547,3912.3,1623.2,4382.4,3474.3,2349.9,959.3,1783.8,2160.7,1981.2,3082.4,1174.9,1187.7,1497.1,3845.7,8643.1,10575.9,2340.1,1120.2,5729.2,4128.7,779.8,2516.1,1194.4,1764.1,741,849.9,452.4,0,1060.5,733.9
33519.6,3740.6,1563.1,3805,3483.1,2359.1,1005.7,1756.7,2085.3,1936.3,2578.7,1139.2,1094.5,1623.8,3274.8,8189,10513.2,2061.1,1084.7,5462.7,3873.4,796.5,2527.4,1126.1,1653.2,710,748,457.4,0,710.9,389.3
32484.9,3600.9,1546.6,3432.8,3171.5,2317.2,842.6,1725.5,1930.9,1898.2,2337.8,1131.1,1043.7,1598.1,2891.1,7967.9,10481,1983.5,1226.2,5216.9,3881.5,760.7,2418.2,1050,1674.5,692,708.2,426.3,0,697.8,345.1
31981.9,3498.9,1539.7,3380.7,3184,2281.9,824.2,1701,1884.5,1877.3,2224.2,1130.3,949.6,1575.1,2692.5,7840.9,10462.8,1929.8,1276,5130.2,3860.7,795.9,2433.7,1005.9,1567.1,678.5,706.4,415,0,709.2,345.2
31748.8,3429,1540.2,3370.9,3264.5,2266.8,797.6,1686.1,1857.7,1869.6,2111.8,1131.9,907.2,1574.3,2679.1,7808.6,10463.5,1908.1,1293.5,5103.5,3848.5,813.5,2484.9,986.5,1446.1,672.6,705.8,423,0,702.2,346.2
31964.7,3416,1535.1,3370.1,3283.9,2258.5,783.2,1686.7,1894.2,1865.5,2132.6,1156.2,954.9,1595.5,2762.2,7853.1,10466.3,1903.3,1332.5,5250.6,3888.4,818.3,2490.5,990.7,1383.5,671.5,707.7,361.4,0,761.3,343.7
32560,3458,1531.7,3390.4,3209.5,2270.1,819.6,1696.3,1977.8,1870.9,2283.1,1162.6,1028.2,1612.9,2840.5,7985.9,10485.7,1938.3,1370.6,5595.5,4107.4,834.6,2496.7,1003.6,1400.5,669.6,716.4,403.6,0,719.9,344.5
33674.5,3600.4,1526.1,3446.2,3327.9,2294.1,973.3,1728.9,2108.2,1899.1,2419.4,1187,1174.8,1633.8,3266,8278.2,10374.9,2037.7,1199.8,5750.3,4240,877.2,2460,1051,1520.2,729.3,746.6,402.2,0,792,370.2
35804.2,3786.4,1580.5,3919.1,3632.1,2318.7,1164.5,1763.4,2521.1,1941.2,2717.3,1212.1,1449.7,1688.3,4044.4,8613.7,10144.9,2685.7,1260.1,6051.3,4207.5,945.8,2421.2,1140.9,1774.5,798.3,771.1,319.6,0,856.2,351.8
38202.5,3998.6,1626.8,4390.1,4007.6,2325.9,1250.5,1809.5,2683.7,2005.6,2986.7,1232.9,1656.4,1756.4,4952.4,8957.9,10087.7,2910.2,987.6,6087.5,4239.8,1065,2959,1255.9,1204.6,839.5,816.2,271.5,0,934,381.5
41311.5,4180.3,1670.2,4512.8,5337.2,2405.6,1389.5,1863.2,2873.3,2062.5,3648.8,1245.9,1745.7,1789.7,5424.7,9289.9,10162.2,3631.2,987.4,6194.1,4369.1,1422.7,2651.7,1943.6,1141.7,877.4,841.4,209.5,0,995.9,381.4
42238.6,4309.6,1673.6,4621.6,5795.9,2458.8,1412.4,1904.6,2896.9,2100.2,3834.5,1254.7,1754.2,1789.4,5613.4,9578.7,10221.4,3730.8,981.5,6204.4,4379.4,1414.2,2574.3,2020.5,1110,891.7,855.7,185.5,0,1029.9,391.4
42541.6,4371.4,1692.3,4635.3,5940.4,2472.1,1413.6,1910.7,2921.9,2116.9,3998.5,1260.9,1804.2,1846.9,5647.5,9663.6,10263.8,3748.2,954.4,6171.1,4336.1,1413.7,2459.8,2020.6,1058.9,896.1,860.1,181,0,1036.7,393.7
42392.9,4378.2,1654.2,4609.5,5942.8,2467.3,1422.9,1916,2940.4,2116.7,4125.2,1262.1,1854,1715.6,5497.8,9656.1,10203,3741.1,899,6148.5,4313.5,1411.4,2451.9,2015.9,993.7,901.4,865.4,180,0,1040.7,396.7
42389,4363.2,1654.3,4584.2,5935.4,2461,1435.8,1920.1,2940.8,2106.7,4111.7,1281.7,1851.1,1719.2,5485.4,9602.8,10396.7,3747.3,838.9,6157,4309.6,1428.7,2354.5,2008,903.3,900.1,886.5,180.9,0,1031.8,388.7
42758.9,4364.6,1663.3,4570.8,5963.4,2457.4,1440.3,1927.7,2960.3,2101.5,4215.5,1307.8,1900.7,1747,5535.4,9622,10446.4,3761.4,779.1,6393.3,4448.9,1456.1,2275.6,2011.4,842.7,923.8,997.2,180.7,10.8,1030.8,376.7
43698.2,4433.2,1675.5,4561.7,6158.5,2487.9,1469.3,1932.7,3046.1,2110.1,4482.5,1311.2,2023.5,1775.4,5594.7,9901.1,10421.6,3861,749.4,6668.9,4648,1528.1,2193.2,2066.7,839.8,982.7,1142.6,182.3,78.5,1082,361.8
45051.5,4535.2,1689,4636.9,6404.3,2576.1,1691.8,1933.3,3156.2,2137.2,4910.4,1306.1,2261.9,1848.4,5667,10249.9,10413,4110.8,707.2,6825.9,4804.7,1734.3,2212.1,2196.7,837,985.8,1146,179.8,140,1147,362.8
45752.6,4580.5,1695.3,4707,6579.5,2588.6,1804.5,1935.8,3230.9,2138.5,5107.2,1299.2,2387.6,1840.6,5664.3,10352.9,10395.2,4216.6,673.9,6874.8,4820.1,1913.6,2219.8,2343.7,843.8,955.1,1148.8,178.2,135,1133.2,352.4
45285.4,4528.8,1693.4,4685,6477.9,2569.8,1727.7,1930.1,3185.9,2145.7,4993.5,1285.2,2290.2,1892.6,5670.2,10208.3,10404.9,4190.7,678.9,6709.5,4625.8,1884.1,2313,2308.9,878.6,928.5,1151.2,174,104.6,1100.3,345.7
43985.9,4391.1,1692.5,4605,6216.9,2534.7,1600,1924.4,3077.8,2118.3,4692.5,1256.6,2071,1839.6,5586.6,9940.5,10395.7,4069.2,686.6,6399.7,4419.1,1681.5,2320.8,2191.8,897.3,893.5,1013.1,169.3,39.9,1044.6,350
40960,4233.7,1620.8,4494,5680.8,2500.8,1428.1,1901.3,2858.2,2090.5,3708.1,1227.2,1659.1,1814.9,5268,9639.9,10341,3350.9,708.7,6151.2,4276.3,1105.6,2320.9,1474.5,924.6,866,879.9,164.3,0,997.9,338.2
39640.1,4114.2,1599.6,4472.5,5050.7,2457,1376.8,1867.4,2753.1,2047.2,3458.9,1214.3,1407.5,1758.8,5163.4,9317.7,10350.9,3196.6,722.5,6291.9,4215,1221,2282.6,1372.4,1568.1,808.8,1014.7,394.9,0,918,488.9
