Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
57025.6,6629.8,2419.7,5731.2,8918.2,3480.2,2991.2,2345,3784,2470.6,5715.6,1536.5,3708.8,2057.9,6537.6,12450,11350.1,4771.9,810.1,8930.7,7073.7,0,0,2812,2177.6,2544,1006.9,1056.7,1112.8,1077,1194.4,1988.6,1081.4
56942.6,6549.5,2423.2,5720.9,8916.6,3477.4,2988.5,2344.3,3783.2,2472.4,5708.7,1540.3,3646.7,2059.5,6511.3,12458.5,11333.6,4771.9,801.8,8949,7069.4,0,0,2707.4,2125.3,2529.5,1026.9,1041,1112.3,1057.1,1280.2,1966.2,917.2
56320.1,6450.6,2411,5696.1,8911.1,3484.2,2972.3,2292.3,3754.2,2468.7,5685.7,1543.3,3636.4,2009.9,6377.8,12441.6,11299.8,4708.8,795.1,8938.3,7057.7,0,0,2591.2,2004.2,2523.5,1029.9,1051.7,1112.1,1080,1287.6,1980.1,925.4
56143.4,6399.9,2415.1,5709.1,8922.3,3482.2,3023.5,2357.2,3765.9,2469.3,5688.1,1559.2,3614.3,2018.5,6348.3,12376.9,11282.2,4646.8,797.6,8930.9,7060.5,0,0,2602,1905.3,2531.2,1026.8,1047.8,1112.3,1081.9,1287.7,1967.4,930.4
56652,6433.4,2416.7,5719.5,8928.4,3490.1,3043.7,2370.4,3766.8,2476.4,5699.5,1568.1,3631.7,1981.1,6471.4,12442.4,11340,4715.4,829.1,9059.1,7204.6,0,0,2597.9,1934.5,2536,1021.3,1070.7,1113,1092.8,1292.2,2070,930.4
57538.5,6619.6,2432.5,5773.5,8992.7,3507.9,3051.4,2364.5,3771,2487.6,5800.4,1592,3830.6,2036.9,6450.8,12790.6,11432.5,4763.2,856.3,9169.8,7336.6,0,0,2620.3,2082.7,2555.5,1013.2,1118.5,1114,1138.9,1379.2,2096.6,1091.5
58467.2,6724.9,2440.3,5845.5,9058.2,3517.4,3040.9,2340.1,3766.6,2549.5,5868.8,1576.1,4100.9,2074.5,6505.9,13031.4,11473.5,4881.5,886.3,9111.8,7408.8,0,0,2798.4,2079,2738.3,1002.3,1092,1406,1136.3,1378.8,2120.2,1121.6
58697.1,6695.9,2453.4,5813.7,9035.6,3499.7,3001.5,2299.7,3747.9,2537,5847.1,1571.3,4129.8,2081.6,6526.2,13044.2,11554,4810.4,886.2,9003.3,7378,0,0,3010.7,2069.7,2911.8,1021.8,1063.6,1406.6,1116.8,1379.7,2082.2,1104.4
57958.8,6585,2441.6,5766.4,8999.6,3477.3,2961.9,2284,3757.4,2510.9,5801.7,1548.6,4077,2139,6407,12890,11490.3,4865.5,883,9080.9,7332.1,0,0,2861.7,2085.4,2849.2,979.2,1018.3,1300.8,1081.1,1380.4,2032.1,1092.6
56515.4,6362.2,2434.2,5677.5,8863,3449.3,2931.9,2272.7,3759.1,2441.9,5669.4,1523.8,3806.1,2192.8,6273,12663.8,11425.4,4859.7,857.6,8877.3,7052.8,0,0,2663,2033.8,2656.1,977.7,975.8,1116.1,1032.6,1377.6,1971.7,1042.5
